width_ms,rep,t_ms,tau
5,6,20.827083,0.000000
5,6,22.825377,0.024738
5,6,24.989033,0.024738
5,6,27.139736,0.000000
5,6,29.099571,0.024738
5,6,30.929781,0.123691
5,6,33.135623,0.074215
5,6,34.811972,0.074215
5,6,37.021266,0.000000
5,6,38.982157,0.024738
5,6,40.792181,0.049477
5,6,42.795908,0.000000
5,6,44.824557,0.000000
5,6,47.134221,0.049477
5,6,48.956470,0.049477
5,6,50.858256,0.049477
5,6,52.928886,0.074215
5,6,54.966345,0.024738
5,6,57.002748,0.049477
5,6,58.987269,0.049477
5,6,61.169478,0.049477
5,6,63.209748,0.123691
5,6,64.915917,0.173168
5,6,67.114690,0.074215
5,7,1.433916,0.000000
5,7,3.411594,0.000000
5,7,5.878220,0.049477
5,7,7.284899,0.049477
5,7,9.538128,-0.024738
5,7,11.425003,-0.049477
5,7,13.607914,-0.049477
5,7,15.435486,0.049477
5,7,17.604587,0.074215
5,7,19.460082,0.024738
5,7,21.699021,0.024738
5,7,23.484753,0.049477
5,7,25.402234,0.049477
5,7,27.284382,0.148430
5,7,29.372200,0.024738
5,7,31.432144,0.074215
5,7,33.356014,0.000000
5,7,35.440708,0.000000
5,7,37.376816,-0.024738
5,7,39.467661,0.049477
5,7,41.404225,0.024738
5,7,43.412550,0.049477
5,7,45.364743,0.024738
5,7,47.421367,0.024738
5,7,49.461878,0.123691
5,7,51.373943,0.024738
5,7,53.440758,0.074215
5,7,55.574413,0.049477
5,7,57.405552,0.049477
5,7,59.451646,0.024738
5,7,61.571738,0.074215
5,7,63.840297,0.074215
5,7,65.209716,0.049477
5,8,1.936020,0.148430
5,8,3.959807,0.074215
5,8,5.951662,0.074215
5,8,7.926373,0.074215
5,8,10.061591,0.049477
5,8,11.840224,-0.272121
5,8,14.085966,0.173168
5,8,16.105413,0.049477
5,8,17.952555,0.000000
5,8,19.903220,0.074215
5,8,21.960005,0.024738
5,8,24.134613,0.024738
5,8,26.049171,0.000000
5,8,27.738818,0.074215
5,8,30.054703,0.074215
5,8,32.079254,0.024738
5,8,33.877987,0.024738
5,8,36.074122,0.074215
5,8,37.975224,0.000000
5,8,39.901834,0.000000
5,8,42.115422,0.123691
5,8,43.914784,0.123691
5,8,45.833356,0.049477
5,8,47.820608,0.049477
5,8,50.052216,0.123691
5,8,51.876158,0.148430
5,8,54.100284,0.049477
5,8,55.897282,0.074215
5,8,57.915865,0.024738
5,8,59.897050,0.148430
5,8,62.012085,0.049477
5,8,63.753881,0.074215
5,8,65.857129,0.049477
5,9,0.023138,0.123691
5,9,2.031527,0.000000
5,9,3.963312,0.173168
5,9,5.990199,0.074215
5,9,8.074031,0.074215
5,9,9.912044,-0.049477
5,9,11.896862,0.123691
5,9,13.878521,-0.272121
5,9,16.127490,0.247383
5,9,18.251692,-0.074215
5,9,20.000017,0.049477
5,9,21.998089,0.000000
5,9,24.148448,0.049477
5,9,26.322177,0.049477
5,9,28.035651,0.049477
5,9,30.008200,0.074215
5,9,31.867133,0.024738
5,9,33.939368,0.049477
5,9,35.923447,0.049477
5,9,38.110128,0.148430
5,9,40.096959,0.148430
5,9,42.069062,0.049477
5,9,44.056130,0.049477
5,9,46.038987,0.074215
5,9,47.925076,0.074215
5,9,49.859295,0.123691
5,9,52.097812,0.123691
5,9,54.131121,0.074215
5,9,56.100674,0.074215
5,9,58.278201,0.074215
5,9,60.120111,0.000000
5,9,62.125444,0.049477
5,9,64.122460,0.049477
5,9,66.082943,0.123691
5,10,0.327664,0.049477
5,10,2.484866,0.074215
5,10,4.401563,0.074215
5,10,6.547476,0.074215
5,10,8.545263,-0.049477
5,10,10.544912,-0.049477
5,10,12.535667,0.123691
5,10,14.552488,0.024738
5,10,16.566090,0.123691
5,10,18.536013,0.074215
5,10,20.561745,0.049477
5,10,22.708236,0.049477
5,10,24.535757,0.074215
5,10,26.739016,0.049477
5,10,28.580785,0.049477
5,10,30.378709,0.000000
5,10,32.704368,0.024738
5,10,34.500456,0.049477
5,10,36.556540,0.049477
5,10,38.562792,0.074215
